ihale_id,ihale_no,ihale_tipi,oim,obm,cografi_bolge,teminat_orani,parti_no,urun_adi,urun_turu,agac_turu,sinif,boy_kodu,cap_kodu,katilimci_sayisi,parti_durum,boy,adet,miktar_birim,miktar_m3_hesap,muhammen_birim_fiyat,teminat_tutari,toplam_muhammen_hesap,detay_durum,kaynak_link
203823,3709,,ALANYA OİM,ANTALYA OBM,Akdeniz,%3.00,254,Kızılçam İn. Sanayi Odunu,Sanayi Odunu,Kızılçam,,,İnce,0,Açık Artırmada Satılmayı Bekliyor,1.25,30,m³ 1.959,1.958,2400.0,141.0,4700.0,,https://esatis.ogm.gov.tr/ihaleler/203823/partiler/254/istifler
203823,3709,,ALANYA OİM,ANTALYA OBM,Akdeniz,%3.00,276,Kızılçam Kağıtlık Odun (M3),Kağıtlık Odun,Kızılçam,,,,0,Açık Artırmada Satılmayı Bekliyor,3,31,m³ 8.115,8.12,2500.0,609.0,20300.0,,https://esatis.ogm.gov.tr/ihaleler/203823/partiler/276/istifler
203823,3709,,ALANYA OİM,ANTALYA OBM,Akdeniz,%3.00,277,Kızılçam Kl. Sanayi Odunu,Sanayi Odunu,Kızılçam,,,Kalın,0,Açık Artırmada Satılmayı Bekliyor,1.25,26,m³ 3.874,3.872,2600.0,302.0,10066.67,,https://esatis.ogm.gov.tr/ihaleler/203823/partiler/277/istifler
203823,3709,,ALANYA OİM,ANTALYA OBM,Akdeniz,%3.00,278,Kızılçam İn. Sanayi Odunu,Sanayi Odunu,Kızılçam,,,İnce,0,Açık Artırmada Satılmayı Bekliyor,1.25,32,m³ 2.022,2.028,2400.0,146.0,4866.67,,https://esatis.ogm.gov.tr/ihaleler/203823/partiler/278/istifler
203823,3709,,ALANYA OİM,ANTALYA OBM,Akdeniz,%3.00,279,Kızılçam Kağıtlık Odun (M3),Kağıtlık Odun,Kızılçam,,,,0,Açık Artırmada Satılmayı Bekliyor,2-2.5,18,m³ 2.657,2.653,2500.0,199.0,6633.33,,https://esatis.ogm.gov.tr/ihaleler/203823/partiler/279/istifler
204258,3952,,TOSYA OİM,KASTAMONU OBM,Karadeniz,%3.00,509,2.Sn.Ub.Kl. Sarıçam Tomruk,Tomruk,Sarıçam,2. Sınıf,Uzun Boy,Kalın,0,Açık Artırmada Satılmayı Bekliyor,6,46,m³ 25.884,25.885,5500.0,4271.0,142366.67,,https://esatis.ogm.gov.tr/ihaleler/204258/partiler/509/istifler
204258,3952,,TOSYA OİM,KASTAMONU OBM,Karadeniz,%3.00,510,2.Sn.Nb.Kl. Sarıçam Tomruk,Tomruk,Sarıçam,2. Sınıf,Normal Boy,Kalın,0,Açık Artırmada Satılmayı Bekliyor,3-3.5-4,139,m³ 47.507,47.507,5000.0,7126.0,237533.33,,https://esatis.ogm.gov.tr/ihaleler/204258/partiler/510/istifler
204258,3952,,TOSYA OİM,KASTAMONU OBM,Karadeniz,%3.00,511,2.Sn.Nb.Kl. Sarıçam Tomruk,Tomruk,Sarıçam,2. Sınıf,Normal Boy,Kalın,0,Açık Artırmada Satılmayı Bekliyor,4,101,m³ 41.975,41.973,5000.0,6296.0,209866.67,,https://esatis.ogm.gov.tr/ihaleler/204258/partiler/511/istifler
204258,3952,,TOSYA OİM,KASTAMONU OBM,Karadeniz,%3.00,512,2.Sn.Nb.İn. Sarıçam Tomruk,Tomruk,Sarıçam,2. Sınıf,Normal Boy,İnce,0,Açık Artırmada Satılmayı Bekliyor,3-3.5-4,446,m³ 83.435,83.438,4800.0,12015.0,400500.0,,https://esatis.ogm.gov.tr/ihaleler/204258/partiler/512/istifler
204258,3952,,TOSYA OİM,KASTAMONU OBM,Karadeniz,%3.00,513,2.Sn.Nb.İn. Sarıçam Tomruk,Tomruk,Sarıçam,2. Sınıf,Normal Boy,İnce,0,Açık Artırmada Satılmayı Bekliyor,3-4,227,m³ 43.610,43.611,4800.0,6280.0,209333.33,,https://esatis.ogm.gov.tr/ihaleler/204258/partiler/513/istifler
204288,3970,,GÖRDES OİM,İZMİR OBM,Ege,%3.00,24,İbreli Dikili Ağaç,Dikili Ağaç,İbreli,,,,0,Açık Artırmada Satılmayı Bekliyor,-,9264,m³ 1210.052,1210.044,1500.0,54452.0,1815066.67,,https://esatis.ogm.gov.tr/ihaleler/204288/partiler/24/istifler
